CustomerKey,Amount,Frequency,Recency
13075,"$6,843.94 ",3,804
13076,"$6,862.14 ",3,806
13077,"$6,766.63 ",3,781
13091,"$6,864.95 ",3,790
13092,$231.96 ,2,767
13093,"$4,778.33 ",2,982
13094,$56.97 ,1,721
13107,"$5,650.90 ",3,770
11477,$34.99 ,1,827
11482,"$8,143.03 ",3,842
11484,"$4,985.38 ",3,1006
11491,"$8,158.01 ",3,845
11493,"$6,958.80 ",3,840
11500,$654.27 ,16,720
11502,"$1,026.29 ",16,703
11507,$653.06 ,16,710
11509,$196.29 ,1,885
11516,"$5,915.54 ",2,928
11518,$82.20 ,2,780
11525,"$5,935.55 ",2,1042
11527,$39.58 ,2,790
11532,$44.57 ,2,734
11534,"$5,919.73 ",2,1050
11541,"$5,973.24 ",2,992
11543,$53.99 ,1,740
11550,"$5,241.43 ",3,1020
11552,$34.99 ,1,724
11557,$21.49 ,1,875
11559,$34.99 ,1,762
11566,"$1,006.83 ",25,723
11568,"$6,789.46 ",3,832
11575,"$6,806.12 ",3,836
11577,"$4,344.09 ",2,1024
11582,"$4,379.08 ",2,1013
11584,$8.99 ,1,836
11591,"$5,895.24 ",2,952
11593,"$5,908.25 ",2,925
11600,$34.99 ,1,969
11602,$34.99 ,1,904
11607,"$5,913.24 ",2,934
11609,"$6,872.11 ",3,768
11616,"$5,253.65 ",3,990
11618,"$2,369.96 ",1,1055
11625,"$5,913.25 ",2,982
11627,$50.23 ,2,782
11632,"$1,002.09 ",16,727
11634,$39.58 ,2,979
11636,$77.27 ,2,712
11641,$303.20 ,5,865
11643,$100.22 ,2,910
11650,$128.97 ,2,744
11652,$310.93 ,5,743
11657,$178.96 ,2,702
11659,$235.01 ,5,724
11661,$287.70 ,5,747
11666,"$5,948.24 ",2,1057
11668,$128.97 ,2,726
11675,"$5,898.26 ",2,1055
11677,$298.21 ,5,761
11684,$93.98 ,2,749
11686,$128.97 ,2,981
11691,$119.96 ,2,956
11693,"$2,294.99 ",1,1067
11700,$137.96 ,2,935
11702,$96.27 ,2,777
11709,$325.89 ,5,808
11711,"$1,103.78 ",27,704
12193,"$4,833.03 ",2,907
12195,$124.41 ,2,887
12202,$171.47 ,4,818
12204,$119.93 ,2,922
12209,"$5,908.25 ",2,984
12211,"$5,908.25 ",2,899
12218,"$4,472.37 ",2,980
12220,"$5,950.23 ",2,885
12227,$43.98 ,1,976
12229,"$4,415.68 ",2,952
12234,$34.99 ,1,979
12236,$34.99 ,1,901
12243,"$3,914.98 ",2,925
12245,"$3,967.26 ",2,931
12252,"$3,938.95 ",2,889
12254,"$5,968.23 ",2,885
12259,$86.75 ,2,925
12261,"$5,973.24 ",2,862
12268,$49.99 ,1,989
12270,"$4,454.57 ",2,904
12277,"$5,666.52 ",3,950
12279,"$5,974.23 ",2,870
12284,"$5,625.25 ",3,954
12286,"$5,254.88 ",3,987
12293,$86.76 ,2,811
12295,$174.17 ,4,826
12302,"$8,091.89 ",4,735
12304,$123.45 ,2,733
12309,$102.26 ,2,961
12311,$116.43 ,2,740
12318,"$6,808.15 ",3,1028
12320,$77.96 ,2,796
12327,$13.98 ,2,908
12329,$118.96 ,2,826
12334,$94.21 ,2,712
12336,$78.98 ,2,745
12343,"$5,567.93 ",3,832
12345,$68.70 ,3,718
12352,$274.24 ,3,772
12354,"$6,797.13 ",3,850
12359,$95.74 ,3,815
12361,$217.46 ,3,773
12363,$273.90 ,4,821
12368,$34.99 ,1,764
12370,$61.53 ,3,942
12377,$49.99 ,1,920
12379,$49.99 ,1,984
12384,"$5,056.53 ",3,995
12386,"$4,447.37 ",2,909
12388,"$4,379.08 ",2,863
12393,$74.48 ,1,825
12395,"$5,968.25 ",2,828
12402,"$5,218.40 ",3,942
12404,"$5,251.71 ",3,941
12411,$159.99 ,2,805
12413,$162.28 ,2,870
12418,"$5,969.72 ",2,785
12420,$42.28 ,1,1021
12427,$39.99 ,1,940
12906,$21.98 ,1,1048
12911,$30.97 ,1,724
12913,"$5,922.53 ",2,798
12920,$105.95 ,2,842
12922,"$4,513.51 ",2,795
12929,"$4,820.31 ",2,978
12931,$155.94 ,2,895
12936,$265.22 ,4,802
12938,$81.46 ,1,1045
12945,$321.39 ,4,705
12947,"$4,507.52 ",2,796
12954,$51.27 ,2,929
12956,$108.46 ,2,796
12961,$83.97 ,2,713
12963,$108.46 ,2,734
12970,$471.11 ,4,800
12972,$175.71 ,4,786
12979,$180.98 ,1,1044
12981,"$4,809.81 ",2,980
12986,"$4,823.01 ",2,912
12988,"$6,915.44 ",3,801
12995,"$6,850.58 ",3,796
12997,$118.18 ,3,783
13004,$190.27 ,3,846
13006,"$6,762.15 ",3,823
13011,"$6,819.11 ",3,817
13013,$256.24 ,3,788
13020,"$2,589.09 ",2,745
13022,"$2,644.02 ",2,752
13029,"$2,961.04 ",2,901
13031,$21.98 ,1,1011
13036,"$2,677.07 ",2,757
13038,"$5,581.26 ",3,804
13045,$62.27 ,2,897
13047,$241.93 ,3,833
13054,$75.97 ,1,749
13056,"$3,291.82 ",2,811
13061,$46.47 ,1,846
13063,"$4,773.33 ",2,795
13070,$56.97 ,1,1018
13072,$155.00 ,2,723
13079,"$6,752.13 ",3,790
13081,"$6,772.15 ",3,774
13086,"$4,805.62 ",2,823
13088,"$4,760.32 ",2,818
13090,"$6,812.42 ",3,773
13095,$328.89 ,4,739
13097,$21.98 ,1,997
13104,"$6,894.44 ",3,766
13106,"$5,697.52 ",3,778
13111,"$5,707.20 ",3,755
13113,"$6,832.41 ",3,787
11483,"$4,966.39 ",3,895
11485,"$7,048.30 ",3,840
11490,$53.99 ,1,1001
11492,"$4,404.08 ",2,1045
11499,$192.21 ,2,915
11501,$872.25 ,16,708
11508,$77.27 ,2,961
11510,$258.15 ,5,735
11515,"$5,930.23 ",2,985
11517,$101.76 ,2,860
11519,$757.27 ,16,719
11524,$42.28 ,2,805
11526,"$2,376.96 ",1,1061
11533,$37.29 ,2,720
11535,"$5,919.21 ",2,1021
11540,"$5,958.18 ",2,1015
11542,$34.47 ,1,964
11544,$88.98 ,1,855
11549,"$7,023.77 ",3,749
11551,$53.99 ,1,1035
11558,$21.49 ,1,761
11560,$53.99 ,1,758
11567,$53.99 ,1,1021
11569,$34.99 ,1,771
11574,$34.99 ,1,1021
11576,"$4,486.41 ",2,1013
11583,"$4,381.39 ",2,997
11585,$49.99 ,1,720
11592,"$5,875.55 ",2,963
11594,$88.98 ,1,866
11599,"$5,957.22 ",2,932
11601,"$5,932.22 ",2,937
11608,$34.99 ,1,748
11610,"$6,786.44 ",3,790
11617,"$5,935.55 ",2,998
11619,$634.84 ,16,759
11624,"$5,898.26 ",2,981
11626,"$5,958.74 ",2,998
11633,$77.27 ,2,716
11635,$42.28 ,2,831
11642,$481.87 ,5,706
11644,$42.28 ,2,725
11649,$91.28 ,2,982
11651,$226.43 ,5,804
11658,$111.96 ,2,890
11660,$324.72 ,5,867
11667,$91.28 ,2,742
11669,$113.21 ,2,864
11674,$96.27 ,2,865
11676,$91.28 ,2,752
11683,"$5,897.23 ",2,1057
11685,$110.92 ,2,748
11692,$93.98 ,2,712
11694,$128.97 ,2,824
11699,$122.25 ,2,874
11701,$128.97 ,2,971
11708,"$5,908.50 ",2,947
11710,$97.98 ,2,749
12192,$159.99 ,2,739
12194,$82.93 ,2,966
12201,$58.18 ,2,874
12203,$200.19 ,4,725
12210,"$6,825.45 ",3,780
12212,"$5,898.26 ",2,907
12217,"$5,873.26 ",2,907
12219,"$5,967.23 ",2,887
12226,"$4,368.06 ",2,973
12228,"$4,401.40 ",2,954
12235,$62.76 ,2,908
12237,"$4,470.39 ",2,942
12242,"$3,948.97 ",2,933
12244,$114.96 ,2,958
12246,"$3,947.25 ",2,928
12251,"$3,924.97 ",2,895
12253,"$4,066.93 ",2,898
12260,$241.76 ,2,885
12262,$119.45 ,2,1005
12267,"$5,873.26 ",2,867
12269,$43.98 ,1,917
12271,"$5,683.18 ",3,957
12276,"$4,416.38 ",2,898
12278,$49.99 ,1,922
12285,"$5,968.25 ",2,869
12287,"$5,720.37 ",3,949
12294,$75.48 ,2,867
12296,"$13,164.64 ",5,797
12301,"$13,295.38 ",5,771
12303,$84.47 ,2,820
12310,$103.96 ,2,800
12312,$34.99 ,1,794
12319,$79.47 ,2,758
12321,"$13,215.65 ",5,770
12326,$63.98 ,2,761
12328,"$6,792.11 ",3,1015
12335,"$6,912.60 ",3,1014
12337,"$8,137.01 ",3,875
12344,$68.70 ,3,870
12346,"$6,864.46 ",3,834
12351,$185.94 ,3,703
12353,"$6,765.46 ",3,854
12360,"$6,750.48 ",3,828
12362,"$5,904.23 ",2,984
12369,$94.23 ,3,747
12371,$214.04 ,3,766
12376,$75.47 ,2,940
12378,"$4,366.41 ",2,889
12385,"$5,118.75 ",3,1002
12387,$34.99 ,1,831
12394,"$5,635.91 ",3,930
12396,$49.99 ,1,807
12401,$36.59 ,1,833
12403,$67.27 ,1,771
12410,$159.99 ,2,714
12412,$258.48 ,2,780
12419,$35.00 ,1,934
12421,$74.98 ,1,1024
12426,$99.47 ,1,786
12428,$74.98 ,1,796
12905,$71.97 ,1,869
12912,"$5,898.26 ",2,798
12914,"$2,329.98 ",1,908
12919,$257.88 ,4,784
12921,"$4,803.33 ",2,802
12928,$247.41 ,4,788
12930,"$4,513.84 ",2,983
12937,$75.97 ,1,879
12939,$237.91 ,4,703
12944,$164.21 ,4,848
12946,$81.46 ,1,835
12953,$81.46 ,1,987
12955,$83.97 ,2,717
12962,$83.97 ,2,777
12964,$119.95 ,4,775
12969,$180.79 ,4,810
12971,$21.98 ,1,903
12973,$83.97 ,2,737
12978,$50.23 ,1,909
12980,"$4,552.52 ",2,1001
12987,"$6,759.47 ",3,808
12989,"$6,817.12 ",3,816
12994,"$6,855.44 ",3,814
12996,"$6,808.15 ",3,820
12998,"$5,694.90 ",3,847
13003,$230.25 ,3,900
13005,$386.96 ,3,707
13012,"$7,017.44 ",3,804
13014,$194.98 ,2,720
13021,"$2,668.38 ",2,755
13023,$88.96 ,2,731
13028,$48.98 ,1,739
13030,$76.97 ,1,843
13037,$59.98 ,2,781
13039,"$3,282.83 ",2,839
13046,$64.97 ,2,912
13048,$190.23 ,3,785
13053,$76.97 ,1,1029
13055,"$3,084.02 ",2,846
13062,"$4,500.52 ",2,801
13064,"$4,579.47 ",2,822
13071,$143.95 ,4,730
13073,$21.98 ,1,785
13078,"$6,850.46 ",3,777
13080,"$6,844.41 ",3,789
13087,"$4,803.33 ",2,800
13089,"$6,800.45 ",3,779
13096,$230.68 ,4,722
13098,$71.97 ,1,967
13103,"$6,842.60 ",3,768
13105,"$5,585.45 ",3,790
13112,"$5,717.89 ",3,749
13108,"$5,718.66 ",3,747
13109,"$5,682.90 ",3,752
13110,"$5,583.94 ",3,756
13124,$91.92 ,3,728
13125,$138.54 ,3,741
13126,"$6,815.08 ",3,768
13127,$86.26 ,3,821
13141,$240.24 ,3,766
13142,"$4,798.34 ",2,800
13625,"$6,962.14 ",3,793
13626,"$6,909.09 ",3,778
13627,$214.25 ,3,771
13628,$191.25 ,3,826
13629,"$6,889.11 ",3,772
13642,$79.97 ,2,960
13643,"$6,799.45 ",3,759
13644,"$6,864.46 ",3,738
13645,"$6,817.12 ",3,745
13659,$65.96 ,1,939
13660,"$4,750.01 ",2,869
13661,"$5,913.24 ",2,877
13662,"$3,021.04 ",2,1078
13675,$215.23 ,2,783
13676,$68.87 ,2,863
13677,$39.98 ,1,726
13678,"$5,933.25 ",2,861
13679,"$5,933.26 ",2,882
13692,$24.99 ,1,799
13693,"$7,171.58 ",3,756
13694,$105.56 ,2,822
13695,$35.00 ,1,926
13709,"$2,332.28 ",1,780
13710,"$2,341.46 ",1,792
13711,"$2,380.47 ",1,775
13712,"$4,503.84 ",2,744
13726,"$4,500.82 ",2,748
13727,$80.96 ,1,751
13728,"$4,879.80 ",2,735
13729,"$4,883.82 ",2,761
13742,"$2,988.32 ",2,1069
13743,"$2,349.98 ",1,784
13744,"$2,959.00 ",2,1072
13745,"$3,282.81 ",2,1086
13746,"$3,250.11 ",2,1072
13759,$100.46 ,1,1002
13760,$197.81 ,4,727
13761,$46.47 ,1,920
13762,$229.00 ,4,725
13776,$70.57 ,2,1020
13777,"$7,147.07 ",3,734
13778,"$4,397.75 ",2,1070
13779,"$3,063.00 ",2,987
13792,"$7,216.08 ",3,739
13793,"$3,021.04 ",2,1003
13794,"$7,212.06 ",3,749
13795,"$4,357.75 ",2,1033
13796,$39.98 ,1,790
13809,$113.96 ,1,987
13810,$53.47 ,1,742
13811,"$3,001.04 ",2,916
13812,"$3,262.83 ",2,942
13826,$48.97 ,1,785
13827,$29.48 ,1,897
13828,$166.28 ,1,791
13829,"$4,380.04 ",2,970
13843,$30.97 ,1,1025
13844,"$4,355.71 ",2,942
13845,"$5,917.24 ",2,828
13846,"$5,933.25 ",2,836
14344,$126.95 ,2,739
14345,"$3,639.92 ",3,744
14346,"$3,583.26 ",3,760
14347,"$2,900.39 ",2,898
14361,$106.96 ,1,724
14362,"$1,845.90 ",2,962
14363,$192.34 ,3,774
14364,"$1,893.91 ",2,929
14377,"$3,320.43 ",2,938
14378,"$1,809.40 ",2,943
14379,"$1,854.91 ",2,944
14380,"$3,330.43 ",2,919
14381,"$3,330.42 ",2,927
14394,"$3,344.70 ",2,892
14395,$96.46 ,1,805
14396,$76.96 ,1,897
14397,$39.98 ,1,705
14411,"$3,360.42 ",2,886
14412,"$3,320.43 ",2,908
14413,"$1,889.91 ",2,941
14414,"$1,793.90 ",2,915
14428,"$8,321.31 ",3,901
14429,"$8,394.29 ",3,867
14430,$30.97 ,1,820
14431,$21.98 ,1,716
14444,$30.97 ,1,920
14445,$100.46 ,1,999
14446,$146.75 ,3,769
14447,"$3,385.40 ",2,904
14461,"$3,310.41 ",2,901
14462,$21.98 ,1,835
14463,$67.93 ,1,1028
14464,"$3,357.72 ",2,911
14478,"$4,795.01 ",2,848
14479,$81.96 ,1,749
14480,$194.94 ,3,790
14481,"$3,360.42 ",2,886
14494,"$1,769.93 ",2,935
14495,"$1,839.92 ",2,921
14496,$804.48 ,1,940
14497,$804.48 ,1,943
14498,"$3,394.39 ",2,905
14511,$89.97 ,1,1000
14512,$39.98 ,1,1058
14513,$4.99 ,1,802
14514,$141.98 ,1,704
14528,$4.99 ,1,887
14529,$254.06 ,2,739
14530,$72.86 ,2,777
14531,$190.54 ,2,1008
14545,$112.96 ,2,716
14546,$152.97 ,2,729
14547,$192.95 ,2,738
14548,$124.99 ,1,790
14561,$158.84 ,3,780
14562,$7.28 ,1,956
14563,$39.98 ,1,890
14564,$124.99 ,1,742
15047,"$6,669.57 ",3,742
15048,"$6,690.58 ",3,760
15049,$71.97 ,1,765
15063,"$4,133.24 ",2,873
15064,"$2,992.33 ",2,856
15065,$24.27 ,1,1034
15066,$24.99 ,1,863
15079,"$2,731.54 ",2,836
15080,"$8,305.30 ",3,905
15081,"$5,900.55 ",2,741
15082,"$7,068.08 ",3,940
15083,"$5,888.24 ",2,762
15096,$69.99 ,1,834
15097,"$8,377.09 ",3,880
15098,$38.88 ,1,889
15099,$90.58 ,1,931
15113,$119.98 ,1,711
15114,"$6,918.87 ",3,892
15115,$94.48 ,1,904
15116,"$7,212.86 ",3,905
15129,"$5,177.73 ",3,758
15130,"$5,215.40 ",3,755
15131,$81.26 ,2,864
15132,$151.94 ,2,763
15133,"$5,237.73 ",3,736
15146,$161.94 ,2,901
15147,$97.45 ,2,877
15148,$90.75 ,2,937
15149,$63.97 ,2,774
15163,$7.28 ,1,839
15164,$4.99 ,1,896
15165,$39.98 ,1,906
15166,"$3,124.96 ",2,896
15180,"$4,466.39 ",2,800
15181,"$4,448.38 ",2,816
15182,"$4,391.41 ",2,795
15183,"$4,368.70 ",2,804
15196,"$3,159.44 ",2,879
15197,$191.81 ,3,713
15198,$7.28 ,1,1057
15199,"$3,080.27 ",2,864
15213,"$2,818.59 ",2,768
15214,"$4,490.88 ",2,818
13115,"$6,779.42 ",3,787
13120,$205.39 ,3,735
13122,"$6,871.43 ",3,764
13129,"$6,823.15 ",3,772
13131,"$6,737.15 ",3,768
13136,$62.27 ,2,814
13138,$83.97 ,3,885
13140,$325.21 ,3,710
13622,"$6,841.43 ",3,790
13624,$118.96 ,3,722
13631,"$6,817.12 ",3,740
13633,"$6,803.14 ",3,750
13638,"$6,832.12 ",3,753
13640,$71.25 ,2,785
13647,"$6,793.15 ",3,740
13649,"$6,812.13 ",3,746
13656,$56.97 ,1,900
13658,"$4,787.61 ",2,921
13663,$15.23 ,1,1062
13665,$83.95 ,2,716
13672,$119.98 ,1,917
13674,$148.47 ,1,970
13681,$74.98 ,1,821
13683,$89.97 ,1,809
13688,$27.28 ,1,915
13690,"$7,162.08 ",3,785
13697,"$6,485.67 ",3,852
13699,$75.97 ,1,807
13706,"$2,337.27 ",1,763
13708,$160.53 ,4,720
13713,"$4,828.31 ",2,741
13715,"$2,778.52 ",2,838
13722,"$3,102.80 ",2,805
13724,"$4,476.55 ",2,753
13731,$21.98 ,1,707
13733,"$4,553.52 ",2,756
13738,$21.98 ,1,714
13740,$56.97 ,1,854
13747,"$3,045.53 ",2,1075
13749,$21.98 ,1,920
13756,$298.49 ,4,922
13758,$284.13 ,4,744
13763,$30.97 ,1,842
13765,"$7,152.09 ",3,733
13772,"$5,928.25 ",2,832
13774,"$4,392.74 ",2,1090
13781,$109.96 ,2,926
13783,"$5,955.23 ",2,844
13788,$200.81 ,2,804
13790,"$4,397.75 ",2,1061
13797,$7.28 ,1,731
13799,"$3,010.03 ",2,998
13806,"$3,075.50 ",2,947
13808,"$4,406.74 ",2,952
13813,$74.98 ,1,1033
13815,$114.55 ,2,824
13817,$35.00 ,1,931
13822,"$6,523.21 ",3,805
13824,$4.99 ,1,802
13831,$35.00 ,1,1030
13833,$106.96 ,1,773
13838,$140.55 ,2,737
13840,"$3,010.03 ",2,886
13842,"$4,404.73 ",2,923
13847,"$5,888.24 ",2,850
13849,"$3,084.54 ",2,1085
13856,"$2,982.02 ",2,1048
14333,$81.46 ,1,764
14335,"$1,804.92 ",2,946
14340,$21.98 ,1,725
14342,"$1,804.92 ",2,955
14349,$56.97 ,1,841
14351,$56.97 ,1,1016
14358,$45.95 ,1,885
14360,$85.48 ,1,798
14365,"$1,804.92 ",2,917
14367,"$1,839.92 ",2,935
14374,"$3,362.71 ",2,944
14376,$71.97 ,1,884
14383,$56.97 ,1,872
14385,"$1,777.88 ",2,923
14390,$39.98 ,1,788
14392,"$3,295.43 ",2,885
14399,$4.99 ,1,993
14401,$15.23 ,1,953
14408,$65.96 ,1,755
14410,$56.97 ,1,765
14415,"$1,769.93 ",2,917
14417,"$1,848.91 ",2,928
14424,"$6,998.86 ",3,827
14426,"$8,319.30 ",3,928
14433,"$3,342.41 ",2,907
14435,$80.96 ,1,871
14440,"$3,367.38 ",2,895
14442,"$3,370.41 ",2,897
14449,"$3,355.42 ",2,912
14451,"$3,362.71 ",2,903
14458,$133.95 ,3,838
14460,$96.46 ,1,757
14465,$7.28 ,1,1056
14467,$39.98 ,1,965
14474,$7.28 ,1,702
14476,$7.28 ,1,857
14483,$39.98 ,1,959
14485,"$3,312.70 ",2,902
14490,$39.98 ,1,757
14492,$7.28 ,1,985
14499,$15.23 ,1,792
14501,"$2,994.09 ",2,901
14508,$54.98 ,1,947
14510,"$3,036.37 ",2,891
14515,$56.97 ,1,807
14517,$82.97 ,2,802
14524,"$3,001.04 ",2,878
14526,$29.48 ,1,929
14533,$160.55 ,2,731
14535,$123.47 ,2,1019
14540,$156.25 ,2,849
14542,$115.25 ,2,817
14544,$39.98 ,1,964
14549,$74.98 ,1,867
14551,$111.96 ,1,741
14558,"$1,528.07 ",2,933
14560,"$1,538.58 ",2,943
14565,"$1,503.58 ",2,921
14567,$161.28 ,3,755
14569,$7.28 ,1,800
15051,"$6,650.60 ",3,761
15053,$93.48 ,1,835
15058,"$6,639.58 ",3,757
15060,$24.99 ,1,732
15062,"$6,684.59 ",3,741
15067,"$2,803.52 ",2,851
15069,$71.95 ,1,1033
15076,$96.46 ,1,743
15078,"$6,675.60 ",3,736
15085,"$7,229.37 ",3,901
15087,"$5,917.24 ",2,734
15092,$36.59 ,1,987
15094,"$7,108.87 ",3,774
15101,"$6,943.55 ",3,895
15103,$107.85 ,2,757
15110,$69.99 ,1,734
15112,$94.48 ,1,1053
15117,"$6,974.56 ",3,885
15119,$68.87 ,2,749
15126,$86.26 ,2,794
15128,$77.27 ,2,965
15135,"$4,381.39 ",2,823
15137,$161.94 ,2,972
15142,$138.46 ,2,764
15144,"$4,344.09 ",2,814
15151,"$4,344.09 ",2,800
15153,$113.97 ,2,853
15160,$98.96 ,1,702
15162,$154.96 ,3,771
15167,"$3,180.94 ",2,869
15169,"$2,919.89 ",2,843
15176,"$4,703.03 ",2,799
15178,"$4,445.06 ",2,809
15185,"$4,393.70 ",2,808
15187,"$4,725.32 ",2,796
15192,"$4,384.08 ",2,814
15194,"$3,173.94 ",2,865
15201,"$4,793.02 ",2,795
15203,"$3,211.45 ",2,864
15210,"$2,926.39 ",2,820
15212,$68.96 ,2,740
15217,$41.26 ,2,765
15219,"$4,399.08 ",2,821
13114,"$6,807.45 ",3,768
13121,$121.25 ,3,846
13123,"$6,765.44 ",3,793
13128,"$6,817.14 ",3,792
13130,"$6,797.15 ",3,772
13137,$177.94 ,3,925
13139,"$6,854.45 ",3,770
13621,$167.40 ,3,843
13623,$99.20 ,3,743
13630,"$6,824.73 ",3,759
13632,"$6,838.46 ",3,744
13639,$188.96 ,3,923
13641,$144.74 ,2,937
13646,"$6,843.60 ",3,756
13648,"$6,765.44 ",3,739
13655,$21.98 ,1,785
13657,"$4,819.30 ",2,938
13664,$210.25 ,2,796
13666,"$5,900.55 ",2,756
13671,$135.23 ,1,702
13673,$94.48 ,1,774
13680,"$5,948.24 ",2,877
13682,$15.23 ,1,931
13689,"$5,898.26 ",2,859
13691,"$5,976.74 ",2,855
13696,$48.97 ,1,1043
13698,$32.27 ,1,1044
13700,"$4,525.82 ",2,735
13705,"$3,018.33 ",2,860
13707,$189.04 ,4,707
13714,"$3,033.31 ",2,874
13716,"$3,078.31 ",2,834
13721,"$2,786.52 ",2,822
13723,$74.98 ,1,790
13725,"$4,532.52 ",2,741
13730,"$4,571.02 ",2,746
13732,$108.96 ,3,858
13739,$71.97 ,1,859
13741,"$2,951.05 ",2,1087
13748,$71.97 ,1,985
13750,$71.97 ,1,936
13755,$45.95 ,1,758
13757,$86.96 ,1,877
13764,$74.98 ,1,1019
13766,"$3,001.04 ",2,1035
13773,$42.28 ,1,904
13775,$68.97 ,1,742
13780,$59.49 ,1,767
